t	type	mode	profile	x	y	z	vx	vy	vz	ax
0.00	cmd	vel	hold	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15.00	cmd	vel	step	0.00	0.00	0.00	0.61	0.61	0.00	0.00
15.30	cmd	vel	step	0.00	0.00	0.00	1.14	1.14	0.00	0.00
15.40	cmd	vel	step	0.00	0.00	0.00	1.36	1.36	0.00	0.00
15.97	cmd	vel	step	0.00	0.00	0.00	2.28	2.28	0.00	0.00
16.58	cmd	vel	step	0.00	0.00	0.00	3.00	3.00	0.00	0.00
17.39	cmd	vel	step	0.00	0.00	0.00	3.77	3.77	0.00	0.00
17.71	cmd	vel	step	0.00	0.00	0.00	4.04	4.04	0.00	0.00
18.28	cmd	vel	step	0.00	0.00	0.00	4.49	4.49	0.00	0.00
18.79	cmd	vel	step	0.00	0.00	0.00	5.00	5.00	0.00	0.00
20.00	cmd	vel	step	0.00	0.00	0.00	4.39	4.39	0.00	0.00
20.30	cmd	vel	step	0.00	0.00	0.00	3.86	3.86	0.00	0.00
20.40	cmd	vel	step	0.00	0.00	0.00	3.64	3.64	0.00	0.00
20.97	cmd	vel	step	0.00	0.00	0.00	2.72	2.72	0.00	0.00
21.58	cmd	vel	step	0.00	0.00	0.00	2.00	2.00	0.00	0.00
22.39	cmd	vel	step	0.00	0.00	0.00	1.23	1.23	0.00	0.00
22.71	cmd	vel	step	0.00	0.00	0.00	0.96	0.96	0.00	0.00
23.28	cmd	vel	step	0.00	0.00	0.00	0.51	0.51	0.00	0.00
23.79	cmd	vel	step	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38.79	end	end	end	0.00	0.00	0.00	0.00	0.00	0.00	0.00

